,#,Name_with_Channel_id,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Name,ChannelId,subscriber_count,view_count,video_count
31,33,Make Afrika Great @UCKLSjhp6XZUEYDT1DMcrj8w,540K,-,South Africa,,162K,Make Afrika Great ,UCKLSjhp6XZUEYDT1DMcrj8w,682000,14253764,1113
32,34,LEON GUMEDE @UCIYIqQy8QwD5MEOachFjr6A,518K,-,South Africa,,155.4K,LEON GUMEDE ,UCIYIqQy8QwD5MEOachFjr6A,605000,134642506,400
33,35,Lloyiso @UC_jBXeWtwdqV14jldwAgsWg,510K,-,South Africa,,153K,Lloyiso ,UC_jBXeWtwdqV14jldwAgsWg,681000,125232401,77
34,36,Evangelist Gabriel Fernandes @UCTnXL2SKHAo0fHVW1WSaqfw,493K,0.3%,South Africa,,147.9K,Evangelist Gabriel Fernandes ,UCTnXL2SKHAo0fHVW1WSaqfw,542000,115706475,2556
35,37,Zee Magic @UC8WD329DJWB2DTYLQTUpUuw,487K,-,South Africa,,146.1K,Zee Magic ,UC8WD329DJWB2DTYLQTUpUuw,660000,76870675,927
36,38,90 Second IQ Boosters @UCFLqqGVE_E8G3Sn-nhKmkAQ,472K,-,South Africa,,141.6K,90 Second IQ Boosters ,UCFLqqGVE_E8G3Sn-nhKmkAQ,478000,24024916,84
37,39,Ramscomics @UCDjBqVmjUMFipzcINJbgOVQ,459K,2.9%,South Africa,,137.7K,Ramscomics ,UCDjBqVmjUMFipzcINJbgOVQ,628000,160094132,77
38,40,WildEarth @UCV6HJBZD_hZcIX9JVJ3dCXQ,456K,-,South Africa,Video Gaming,136.8K,WildEarth ,UCV6HJBZD_hZcIX9JVJ3dCXQ,648000,297557819,10472
39,41,you belong @UCAVmHjQH2rGQ58MGEPlLSWA,455K,-,South Africa,,136.5K,you belong ,UCAVmHjQH2rGQ58MGEPlLSWA,461000,11135568,1738
40,42,MaroGamingStudio8k @UCSUcdHS_ZyQmqTgKXhJ3RxQ,450K,-,South Africa,,135K,MaroGamingStudio8k ,UCSUcdHS_ZyQmqTgKXhJ3RxQ,431000,55378,7
